NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,road_lengt,road_count,len_dens,road_dens,traffic_am,traf_dens,junc_amt,junc_dens,sumjunc_co,buff_dens,transit_am,trans_dens,tree_cnt,tree_dens,bkjnc_amt,bkjnc_dens,acc_amt,acc_dens
St. James,E05000411,216.584,0.000,E09000021,Kingston upon Thames,50454,25952.709653015514050,321.000000000000000,119.8275,1.4821,228525,1055.1333,165,0.7618,494.0000000000000000,2.2809,29,0.1339,17,0.0785,17,0.0785,20,0.0923
Tudor,E05000415,158.255,0.000,E09000021,Kingston upon Thames,51117,25513.078624348414451,310.000000000000000,161.2150,1.9589,1428,9.0234,169,1.0679,464.0000000000000000,2.9320,30,0.1896,0,0.0000,10,0.0632,7,0.0442
Coulsdon East,E05000150,774.358,0.000,E09000008,Croydon,50897,45618.250008206006896,342.000000000000000,58.9111,0.4417,0,0.0000,182,0.2350,308.0000000000000000,0.3977,68,0.0878,0,0.0000,6,0.0077,7,0.0090
Selsdon and Ballards,E05000162,639.834,0.000,E09000008,Croydon,50900,39035.592368185018131,317.000000000000000,61.0089,0.4954,19583,30.6064,162,0.2532,344.0000000000000000,0.5376,52,0.0813,0,0.0000,13,0.0203,15,0.0234
Coulsdon West,E05000151,499.147,0.000,E09000008,Croydon,51328,53204.352016208409623,399.000000000000000,106.5905,0.7994,92237,184.7893,210,0.4207,459.0000000000000000,0.9196,108,0.2164,78,0.1563,34,0.0681,35,0.0701
Waddon,E05000167,364.759,0.000,E09000008,Croydon,51256,42323.128834982133412,517.000000000000000,116.0304,1.4174,284467,779.8766,260,0.7128,730.0000000000000000,2.0013,64,0.1755,176,0.4825,16,0.0439,77,0.2111
Kenley,E05000156,645.609,0.000,E09000008,Croydon,50898,55819.983531657366257,471.000000000000000,86.4610,0.7295,20532,31.8025,241,0.3733,468.0000000000000000,0.7249,72,0.1115,1,0.0015,3,0.0046,25,0.0387
Purley,E05000159,417.518,0.000,E09000008,Croydon,51329,52123.003681984679133,484.000000000000000,124.8401,1.1592,134149,321.3011,255,0.6108,669.0000000000000000,1.6023,59,0.1413,119,0.2850,28,0.0671,45,0.1078
Sanderstead,E05000160,634.697,0.000,E09000008,Croydon,50899,44510.621734131200355,403.000000000000000,70.1289,0.6349,1754,2.7635,213,0.3356,472.0000000000000000,0.7437,50,0.0788,0,0.0000,13,0.0205,18,0.0284
Heathfield,E05000155,871.342,0.000,E09000008,Croydon,51332,53170.020801758822927,505.000000000000000,61.0208,0.5796,59799,68.6286,266,0.3053,691.0000000000000000,0.7930,78,0.0895,76,0.0872,41,0.0471,44,0.0505
Fairfield,E05000153,377.221,0.000,E09000008,Croydon,51198,47665.822683971578954,650.000000000000000,126.3605,1.7231,226684,600.9315,337,0.8934,976.0000000000000000,2.5873,104,0.2757,242,0.6415,33,0.0875,88,0.2333
Broad Green,E05000149,266.195,0.000,E09000008,Croydon,51196,41066.743160371399426,501.000000000000000,154.2732,1.8821,31541,118.4883,259,0.9730,795.0000000000000000,2.9865,67,0.2517,64,0.2404,19,0.0714,87,0.3268
West Thornton,E05000168,197.117,0.000,E09000008,Croydon,51197,29223.663503278356075,355.000000000000000,148.2554,1.8010,76202,386.5826,189,0.9588,558.0000000000000000,2.8308,37,0.1877,76,0.3856,22,0.1116,61,0.3095
Bensham Manor,E05000148,144.147,0.000,E09000008,Croydon,51145,22126.206439030782349,243.000000000000000,153.4975,1.6858,4614,32.0090,129,0.8949,297.0000000000000000,2.0604,20,0.1387,26,0.1804,2,0.0139,22,0.1526
Norbury,E05000158,251.818,0.000,E09000008,Croydon,51192,32780.726045988645637,362.000000000000000,130.1763,1.4375,31705,125.9044,194,0.7704,455.0000000000000000,1.8069,28,0.1112,109,0.4329,8,0.0318,57,0.2264
New Addington,E05000157,241.710,0.000,E09000008,Croydon,50901,27648.346949151771696,255.000000000000000,114.3864,1.0550,0,0.0000,153,0.6330,306.0000000000000000,1.2660,57,0.2358,0,0.0000,9,0.0372,13,0.0538
Croham,E05000152,352.705,0.000,E09000008,Croydon,51331,42050.523055822348397,438.000000000000000,119.2229,1.2418,0,0.0000,233,0.6606,538.0000000000000000,1.5254,46,0.1304,0,0.0000,18,0.0510,23,0.0652
Fieldway,E05000154,148.649,0.000,E09000008,Croydon,51261,18361.246615547890542,189.000000000000000,123.5208,1.2715,0,0.0000,100,0.6727,212.0000000000000000,1.4262,31,0.2085,0,0.0000,5,0.0336,5,0.0336
Shirley,E05000163,280.541,0.000,E09000008,Croydon,116954,37456.101751456153579,448.000000000000000,133.5138,1.5969,3630,12.9393,240,0.8555,585.0000000000000000,2.0853,45,0.1604,145,0.5169,17,0.0606,3,0.0107
Selhurst,E05000161,227.303,0.000,E09000008,Croydon,51199,29706.328684993393836,351.000000000000000,130.6904,1.5442,64480,283.6742,182,0.8007,442.0000000000000000,1.9445,38,0.1672,0,0.0000,5,0.0220,49,0.2156
Ashburton,E05000147,271.173,0.000,E09000008,Croydon,51259,34403.634448325639823,378.000000000000000,126.8697,1.3939,92361,340.5981,204,0.7523,451.0000000000000000,1.6631,48,0.1770,25,0.0922,13,0.0479,25,0.0922
Woodside,E05000169,216.651,0.000,E09000008,Croydon,116956,27079.254770616611495,319.000000000000000,124.9902,1.4724,21295,98.2917,175,0.8078,397.0000000000000000,1.8324,32,0.1477,3,0.0138,7,0.0323,18,0.0831
Thornton Heath,E05000165,168.107,0.000,E09000008,Croydon,51232,26012.868124862783588,303.000000000000000,154.7399,1.8024,21156,125.8484,157,0.9339,343.0000000000000000,2.0404,30,0.1785,0,0.0000,2,0.0119,42,0.2498
Upper Norwood,E05000166,262.328,0.000,E09000008,Croydon,119328,33452.736704426286451,383.000000000000000,127.5226,1.4600,51093,194.7676,193,0.7357,533.0000000000000000,2.0318,39,0.1487,0,0.0000,5,0.0191,38,0.1449
South Norwood,E05000164,237.817,0.000,E09000008,Croydon,51146,30967.295342898054514,414.000000000000000,130.2148,1.7408,83604,351.5476,212,0.8914,613.0000000000000000,2.5776,51,0.2145,14,0.0589,6,0.0252,32,0.1346
Addiscombe,E05000146,158.808,0.000,E09000008,Croydon,51257,26070.922655520480475,293.000000000000000,164.1663,1.8450,61800,389.1492,156,0.9823,342.0000000000000000,2.1535,39,0.2456,1,0.0063,6,0.0378,20,0.1259
Darwin,E05000117,2903.960,0.000,E09000006,Bromley,117267,74761.877215564309154,384.000000000000000,25.7448,0.1322,54757,18.8560,182,0.0627,365.0000000000000000,0.1257,112,0.0386,1014,0.3492,6,0.0021,26,0.0090
Hayes and Coney Hall,E05000119,1082.306,0.000,E09000006,Bromley,117271,65424.840539503442415,599.000000000000000,60.4495,0.5534,68580,63.3647,330,0.3049,673.0000000000000000,0.6218,67,0.0619,5888,5.4402,8,0.0074,26,0.0240
Bromley Common and Keston,E05000108,830.820,0.000,E09000006,Bromley,50903,59310.006970732734771,601.000000000000000,71.3873,0.7234,90513,108.9442,312,0.3755,735.0000000000000000,0.8847,75,0.0903,3066,3.6903,29,0.0349,44,0.0530
Chelsfield and Pratts Bottom,E05000110,1256.320,0.000,E09000006,Bromley,117270,72317.637785016617272,595.000000000000000,57.5631,0.4736,94955,75.5819,311,0.2475,662.0000000000000000,0.5269,104,0.0828,3550,2.8257,17,0.0135,43,0.0342
Biggin Hill,E05000107,828.039,0.000,E09000006,Bromley,50896,36044.012710055285424,277.000000000000000,43.5294,0.3345,16880,20.3855,135,0.1630,252.0000000000000000,0.3043,70,0.0845,1372,1.6569,2,0.0024,16,0.0193
West Wickham,E05000127,441.047,0.000,E09000006,Bromley,117268,46568.147489428978588,499.000000000000000,105.5855,1.1314,42767,96.9670,262,0.5940,710.0000000000000000,1.6098,45,0.1020,3363,7.6250,13,0.0295,33,0.0748
Clock House,E05000112,226.647,0.000,E09000006,Bromley,117277,29887.217585229529504,297.000000000000000,131.8668,1.3104,95267,420.3321,152,0.6706,402.0000000000000000,1.7737,60,0.2647,2328,10.2715,15,0.0662,43,0.1897
Kelsey and Eden Park,E05000120,519.895,0.000,E09000006,Bromley,117269,56636.409726498313830,734.000000000000000,108.9382,1.4118,61191,117.6988,377,0.7251,1016.0000000000000000,1.9542,68,0.1308,5410,10.4059,9,0.0173,46,0.0885
Farnborough and Crofton,E05000118,700.584,0.000,E09000006,Bromley,117272,55496.553867296228418,579.000000000000000,79.2147,0.8265,17808,25.4188,307,0.4382,640.0000000000000000,0.9135,87,0.1242,3258,4.6504,21,0.0300,34,0.0485
Shortlands,E05000126,245.665,0.000,E09000006,Bromley,117276,30743.453131336613296,314.000000000000000,125.1438,1.2782,0,0.0000,166,0.6757,382.0000000000000000,1.5550,56,0.2280,2626,10.6894,7,0.0285,23,0.0936
Bromley Town,E05000109,371.656,0.000,E09000006,Bromley,117281,46289.241843581767171,532.000000000000000,124.5486,1.4314,67280,181.0276,259,0.6969,627.0000000000000000,1.6870,106,0.2852,3649,9.8182,27,0.0726,68,0.1830
Bickley,E05000106,486.913,0.000,E09000006,Bromley,51335,54854.486843532446073,645.000000000000000,112.6577,1.3247,0,0.0000,325,0.6675,790.0000000000000000,1.6225,59,0.1212,2982,6.1243,8,0.0164,27,0.0555
Petts Wood and Knoll,E05000124,430.127,0.000,E09000006,Bromley,50912,41797.731378163211048,375.000000000000000,97.1753,0.8718,0,0.0000,189,0.4394,384.0000000000000000,0.8928,43,0.1000,2201,5.1171,16,0.0372,26,0.0604
Crystal Palace,E05000116,229.114,0.000,E09000006,Bromley,117275,29255.086288758266164,360.000000000000000,127.6879,1.5713,47155,205.8146,188,0.8206,591.0000000000000000,2.5795,52,0.2270,3630,15.8436,11,0.0480,41,0.1790
Penge and Cator,E05000123,295.972,0.000,E09000006,Bromley,117278,34998.932550514524337,393.000000000000000,118.2508,1.3278,42271,142.8209,198,0.6690,429.0000000000000000,1.4495,51,0.1723,2954,9.9807,15,0.0507,54,0.1824
Copers Cope,E05000113,328.692,0.000,E09000006,Bromley,117279,42074.886153029750858,566.000000000000000,128.0070,1.7220,60394,183.7404,294,0.8945,742.0000000000000000,2.2574,74,0.2251,1835,5.5827,9,0.0274,42,0.1278
Plaistow and Sundridge,E05000125,400.094,0.000,E09000006,Bromley,51336,41872.018263903264597,445.000000000000000,104.6555,1.1122,10833,27.0761,236,0.5899,527.0000000000000000,1.3172,41,0.1025,2211,5.5262,11,0.0275,28,0.0700
Chislehurst,E05000111,1044.120,0.000,E09000006,Bromley,50911,72215.004425445862580,729.000000000000000,69.1635,0.6982,74430,71.2849,382,0.3659,858.0000000000000000,0.8217,66,0.0632,3591,3.4393,15,0.0144,46,0.0441
Mottingham and Chislehurst North,E05000121,244.184,0.000,E09000006,Bromley,51338,23397.242621164532466,230.000000000000000,95.8181,0.9419,0,0.0000,120,0.4914,278.0000000000000000,1.1385,21,0.0860,1706,6.9865,8,0.0328,18,0.0737
Orpington,E05000122,425.616,0.000,E09000006,Bromley,117280,48458.261842378895381,478.000000000000000,113.8544,1.1231,55654,130.7611,253,0.5944,568.0000000000000000,1.3345,80,0.1880,5237,12.3045,27,0.0634,50,0.1175
Cray Valley West,E05000115,393.850,0.000,E09000006,Bromley,117273,47781.658857146023365,453.000000000000000,121.3194,1.1502,0,0.0000,236,0.5992,469.0000000000000000,1.1908,92,0.2336,3363,8.5388,19,0.0482,52,0.1320
Cray Valley East,E05000114,1327.866,0.000,E09000006,Bromley,117274,70958.071520301105920,645.000000000000000,53.4377,0.4857,123777,93.2150,325,0.2448,799.0000000000000000,0.6017,103,0.0776,3291,2.4784,42,0.0316,33,0.0249
Bedfont,E05000346,444.841,0.000,E09000018,Hounslow,51131,41375.635243655124214,447.000000000000000,93.0122,1.0049,65869,148.0731,239,0.5373,613.0000000000000000,1.3780,42,0.0944,1448,3.2551,36,0.0809,35,0.0787
Hanworth,E05000353,323.258,0.000,E09000018,Hounslow,51122,41253.190169884350325,501.000000000000000,127.6169,1.5498,246777,763.4057,268,0.8291,780.0000000000000000,2.4129,44,0.1361,939,2.9048,22,0.0681,40,0.1237
Cranford,E05000350,272.630,0.000,E09000018,Hounslow,51125,36749.027493362649693,521.000000000000000,134.7945,1.9110,180891,663.5036,274,1.0050,1060.0000000000000000,3.8881,29,0.1064,1236,4.5336,55,0.2017,90,0.3301
Syon,E05000364,285.378,13.187,E09000018,Hounslow,117104,32615.072325739030930,462.000000000000000,114.2873,1.6189,37822,132.5330,227,0.7954,715.0000000000000000,2.5054,56,0.1962,1408,4.9338,20,0.0701,42,0.1472
Heston West,E05000357,382.657,0.000,E09000018,Hounslow,51133,43284.307226488628658,486.000000000000000,113.1152,1.2701,373241,975.3931,243,0.6350,684.0000000000000000,1.7875,45,0.1176,1356,3.5436,22,0.0575,61,0.1594
Heston East,E05000356,205.913,0.000,E09000018,Hounslow,117113,25320.902043818645325,356.000000000000000,122.9689,1.7289,165225,802.4020,179,0.8693,559.0000000000000000,2.7147,20,0.0971,2147,10.4267,22,0.1068,40,0.1943
Osterley and Spring Grove,E05000363,627.784,0.000,E09000018,Hounslow,117103,48787.690917247840844,452.000000000000000,77.7141,0.7200,158113,251.8589,243,0.3871,569.0000000000000000,0.9064,61,0.0972,1994,3.1763,30,0.0478,52,0.0828
Brentford,E05000347,318.351,3.263,E09000018,Hounslow,117105,40516.089919753809227,492.000000000000000,127.2686,1.5455,337055,1058.7528,258,0.8104,951.0000000000000000,2.9873,51,0.1602,4628,14.5374,67,0.2105,77,0.2419
Chiswick Homefields,E05000348,225.923,22.286,E09000018,Hounslow,117106,26457.392741667834343,287.000000000000000,117.1080,1.2703,123849,548.1912,140,0.6197,431.0000000000000000,1.9077,39,0.1726,2580,11.4198,20,0.0885,46,0.2036
Feltham West,E05000352,318.105,0.000,E09000018,Hounslow,117107,34743.107484792868490,453.000000000000000,109.2190,1.4241,0,0.0000,228,0.7167,760.0000000000000000,2.3891,31,0.0975,1078,3.3888,9,0.0283,23,0.0723
Hanworth Park,E05000354,366.126,0.000,E09000018,Hounslow,51123,40390.242736808766495,494.000000000000000,110.3179,1.3493,50463,137.8296,252,0.6883,784.0000000000000000,2.1413,36,0.0983,2806,7.6640,15,0.0410,52,0.1420
Feltham North,E05000351,338.448,0.000,E09000018,Hounslow,117102,36629.412477559184481,416.000000000000000,108.2276,1.2291,91699,270.9397,219,0.6471,647.0000000000000000,1.9117,50,0.1477,1464,4.3256,29,0.0857,58,0.1714
Hounslow Heath,E05000359,278.178,0.000,E09000018,Hounslow,117108,22902.881570458037459,328.000000000000000,82.3318,1.1791,49024,176.2325,155,0.5572,529.0000000000000000,1.9017,20,0.0719,1444,5.1909,10,0.0359,41,0.1474
Hounslow West,E05000361,162.018,0.000,E09000018,Hounslow,117109,27140.786655907239037,373.000000000000000,167.5171,2.3022,101485,626.3810,182,1.1233,602.0000000000000000,3.7156,36,0.2222,897,5.5364,5,0.0309,33,0.2037
Heston Central,E05000355,168.478,0.000,E09000018,Hounslow,117112,25458.359417777937779,345.000000000000000,151.1079,2.0477,41546,246.5960,170,1.0090,502.0000000000000000,2.9796,40,0.2374,1100,6.5290,22,0.1306,38,0.2255
Hounslow South,E05000360,179.011,0.000,E09000018,Hounslow,117110,32634.975988367557875,492.000000000000000,182.3071,2.7484,8264,46.1648,257,1.4357,777.0000000000000000,4.3405,22,0.1229,1416,7.9101,7,0.0391,9,0.0503
Isleworth,E05000362,203.089,6.436,E09000018,Hounslow,117111,30356.043277586886688,368.000000000000000,149.4716,1.8120,59130,291.1531,191,0.9405,456.0000000000000000,2.2453,33,0.1625,1385,6.8197,12,0.0591,17,0.0837
Hounslow Central,E05000358,173.393,0.000,E09000018,Hounslow,117116,24873.233049539670901,322.000000000000000,143.4500,1.8571,50438,290.8883,156,0.8997,420.0000000000000000,2.4222,51,0.2941,1118,6.4478,13,0.0750,28,0.1615
Chiswick Riverside,E05000349,208.007,15.584,E09000018,Hounslow,117114,27768.835899405377859,325.000000000000000,133.4995,1.5624,144998,697.0823,174,0.8365,491.0000000000000000,2.3605,21,0.1010,2074,9.9708,11,0.0529,28,0.1346
Turnham Green,E05000365,176.953,0.000,E09000018,Hounslow,117115,29403.580339561998699,403.000000000000000,166.1660,2.2774,85110,480.9752,211,1.1924,688.0000000000000000,3.8880,47,0.2656,1793,10.1326,13,0.0735,64,0.3617
Norwood Green,E05000186,379.609,0.000,E09000009,Ealing,116744,34913.002993973197590,404.000000000000000,91.9710,1.0643,90094,237.3337,208,0.5479,638.0000000000000000,1.6807,39,0.1027,1430,3.7670,29,0.0764,37,0.0975
Southall Green,E05000190,158.616,0.000,E09000009,Ealing,51134,26611.045652578661247,405.000000000000000,167.7702,2.5533,0,0.0000,206,1.2987,767.0000000000000000,4.8356,19,0.1198,525,3.3099,6,0.0378,28,0.1765
Northolt West End,E05000185,354.536,0.000,E09000009,Ealing,51089,32950.360763450400555,405.000000000000000,92.9394,1.1423,104637,295.1379,217,0.6121,597.0000000000000000,1.6839,26,0.0733,1134,3.1985,28,0.0790,70,0.1974
Dormers Wells,E05000172,225.730,0.000,E09000009,Ealing,116745,30363.144382251575735,547.000000000000000,134.5109,2.4232,96611,427.9936,281,1.2449,1163.0000000000000000,5.1522,30,0.1329,1652,7.3185,15,0.0665,27,0.1196
Greenford Broadway,E05000177,251.669,0.000,E09000009,Ealing,116746,37334.833390478794172,532.000000000000000,148.3490,2.1139,0,0.0000,284,1.1285,998.0000000000000000,3.9655,46,0.1828,2177,8.6503,16,0.0636,57,0.2265
North Greenford,E05000183,325.737,0.000,E09000009,Ealing,71036,29239.875601389103394,335.000000000000000,89.7653,1.0284,71760,220.3004,172,0.5280,532.0000000000000000,1.6332,28,0.0860,1365,4.1905,13,0.0399,26,0.0798
Northfield,E05000182,154.011,0.000,E09000009,Ealing,50524,23849.686708160279522,283.000000000000000,154.8570,1.8375,9199,59.7295,145,0.9415,386.0000000000000000,2.5063,24,0.1558,2252,14.6223,4,0.0260,14,0.0909
East Acton,E05000175,427.588,0.000,E09000009,Ealing,116749,63568.212193631457922,867.000000000000000,148.6670,2.0277,361523,845.4938,478,1.1179,1654.0000000000000000,3.8682,109,0.2549,2120,4.9580,55,0.1286,108,0.2526
Southall Broadway,E05000189,161.725,0.000,E09000009,Ealing,51091,21852.539103263094148,254.000000000000000,135.1216,1.5706,42277,261.4129,134,0.8286,438.0000000000000000,2.7083,19,0.1175,950,5.8742,9,0.0557,50,0.3092
Elthorne,E05000176,199.963,0.000,E09000009,Ealing,51087,26920.662562993369647,337.000000000000000,134.6282,1.6853,76130,380.7204,175,0.8752,426.0000000000000000,2.1304,23,0.1150,2248,11.2421,5,0.0250,41,0.2050
Walpole,E05000192,146.596,0.000,E09000009,Ealing,51112,24316.980501954385545,331.000000000000000,165.8775,2.2579,12888,87.9151,169,1.1528,489.0000000000000000,3.3357,17,0.1160,2980,20.3280,5,0.0341,41,0.2797
Lady Margaret,E05000181,154.182,0.000,E09000009,Ealing,50955,37967.481389551008760,915.000000000000000,246.2511,5.9345,0,0.0000,475,3.0808,2449.0000000000000000,15.8838,34,0.2205,972,6.3042,1,0.0065,26,0.1686
Northolt Mandeville,E05000184,275.664,0.000,E09000009,Ealing,51013,35550.340436808313825,424.000000000000000,128.9626,1.5381,120461,436.9849,217,0.7872,675.0000000000000000,2.4486,57,0.2068,1978,7.1754,19,0.0689,72,0.2612
Hobbayne,E05000180,220.937,0.000,E09000009,Ealing,51086,30898.326107732835226,392.000000000000000,139.8513,1.7743,555,2.5120,199,0.9007,490.0000000000000000,2.2178,45,0.2037,1790,8.1019,13,0.0588,11,0.0498
Cleveland,E05000171,222.856,0.000,E09000009,Ealing,50521,26939.358574275931460,334.000000000000000,120.8824,1.4987,0,0.0000,169,0.7583,408.0000000000000000,1.8308,35,0.1571,2941,13.1969,10,0.0449,23,0.1032
Greenford Green,E05000178,338.477,0.000,E09000009,Ealing,116747,45331.481185100921721,557.000000000000000,133.9278,1.6456,274095,809.7891,291,0.8597,844.0000000000000000,2.4935,46,0.1359,1587,4.6886,17,0.0502,74,0.2186
Perivale,E05000187,336.775,0.000,E09000009,Ealing,51106,45356.077869084518170,594.000000000000000,134.6777,1.7638,0,0.0000,325,0.9650,1039.0000000000000000,3.0851,47,0.1396,1822,5.4101,30,0.0891,64,0.1900
Ealing Common,E05000174,214.106,0.000,E09000009,Ealing,51111,31680.674748214645660,434.000000000000000,147.9672,2.0270,32290,150.8131,233,1.0882,727.0000000000000000,3.3955,30,0.1401,2020,9.4346,21,0.0981,65,0.3036
Ealing Broadway,E05000173,185.676,0.000,E09000009,Ealing,51110,28472.768437730635924,399.000000000000000,153.3465,2.1489,23387,125.9560,202,1.0879,685.0000000000000000,3.6892,60,0.3231,1800,9.6943,12,0.0646,22,0.1185
South Acton,E05000188,171.920,0.000,E09000009,Ealing,51062,24652.324193547836330,317.000000000000000,143.3942,1.8439,42914,249.6161,171,0.9946,400.0000000000000000,2.3267,49,0.2850,1821,10.5921,7,0.0407,43,0.2501
Southfield,E05000191,142.869,0.000,E09000009,Ealing,116748,29636.220375907454581,412.000000000000000,207.4363,2.8838,17718,124.0157,229,1.6029,674.0000000000000000,4.7176,32,0.2240,2083,14.5798,8,0.0560,15,0.1050
Acton Central,E05000170,177.463,0.000,E09000009,Ealing,51060,25417.061375871016935,292.000000000000000,143.2246,1.6454,48399,272.7273,147,0.8283,430.0000000000000000,2.4230,37,0.2085,1668,9.3991,6,0.0338,15,0.0845
Hanger Hill,E05000179,327.724,0.000,E09000009,Ealing,50522,49222.051220453868154,602.000000000000000,150.1936,1.8369,137619,419.9235,332,1.0130,992.0000000000000000,3.0269,62,0.1892,2763,8.4309,38,0.1160,80,0.2441
Upminster,E05000323,2253.736,0.000,E09000016,Havering,116694,76189.958507715055021,448.000000000000000,33.8061,0.1988,119871,53.1877,244,0.1083,422.0000000000000000,0.1872,69,0.0306,0,0.0000,7,0.0031,25,0.0111
Rainham and Wennington,E05000318,1688.010,154.284,E09000016,Havering,50925,74072.182829458921333,572.000000000000000,43.8814,0.3389,199710,118.3109,294,0.1742,647.0000000000000000,0.3833,46,0.0273,0,0.0000,23,0.0136,40,0.0237
South Hornchurch,E05000321,687.318,56.479,E09000016,Havering,116695,57779.090311886488053,572.000000000000000,84.0646,0.8322,186793,271.7709,302,0.4394,693.0000000000000000,1.0083,52,0.0757,0,0.0000,45,0.0655,93,0.1353
Elm Park,E05000308,366.535,0.000,E09000016,Havering,116696,34689.983204937918345,365.000000000000000,94.6430,0.9958,30457,83.0944,188,0.5129,407.0000000000000000,1.1104,29,0.0791,43,0.1173,10,0.0273,29,0.0791
Brooklands,E05000306,420.264,0.000,E09000016,Havering,116702,38105.696286443890131,417.000000000000000,90.6709,0.9922,110292,262.4350,208,0.4949,487.0000000000000000,1.1588,55,0.1309,17,0.0405,27,0.0642,61,0.1451
Romford Town,E05000319,286.473,0.000,E09000016,Havering,116703,45078.271125247432792,619.000000000000000,157.3561,2.1608,106115,370.4189,313,1.0926,1003.0000000000000000,3.5012,57,0.1990,0,0.0000,34,0.1187,83,0.2897
Mawneys,E05000316,304.261,0.000,E09000016,Havering,51287,34249.310300530087261,405.000000000000000,112.5656,1.3311,75219,247.2187,200,0.6573,511.0000000000000000,1.6795,35,0.1150,23,0.0756,3,0.0099,38,0.1249
Pettits,E05000317,395.457,0.000,E09000016,Havering,116708,38298.337996758898953,395.000000000000000,96.8458,0.9988,66019,166.9436,203,0.5133,523.0000000000000000,1.3225,33,0.0834,87,0.2200,12,0.0303,44,0.1113
Hacton,E05000311,246.542,0.000,E09000016,Havering,116704,35975.264916432999598,378.000000000000000,145.9194,1.5332,12117,49.1478,201,0.8153,483.0000000000000000,1.9591,29,0.1176,0,0.0000,8,0.0324,17,0.0690
St. Andrew's,E05000320,267.712,0.000,E09000016,Havering,116705,34433.911147347709630,355.000000000000000,128.6230,1.3261,16402,61.2673,179,0.6686,386.0000000000000000,1.4418,42,0.1569,0,0.0000,2,0.0075,40,0.1494
